catalog_name,family_for_this_review,review_depth,paper_url,author_repository,assessment_scope
SAM,generalization / iterate averaging,catalog triage only,https://arxiv.org/abs/2010.01412,https://github.com/google-research/sam,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
MADGRAD,classical / other adaptive baseline,catalog triage only,https://arxiv.org/abs/2101.11075,https://github.com/tianshijing/ScalingOpt/blob/main/Optimizers/madgrad.py,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
Adan,gradient history,catalog triage only,https://arxiv.org/abs/2208.06677,https://github.com/tianshijing/ScalingOpt/blob/main/Optimizers/adan.py,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
CAME,systems / state efficiency,catalog triage only,https://arxiv.org/abs/2307.02047,https://github.com/tianshijing/ScalingOpt/blob/main/Optimizers/came.py,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
Sophia,curvature,catalog triage only,https://arxiv.org/abs/2305.14342,https://github.com/tianshijing/ScalingOpt/blob/main/Optimizers/sophia.py,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
SVRG (Variant),gradient history,catalog triage only,https://arxiv.org/abs/2311.05589,https://github.com/tianshijing/ScalingOpt/blob/main/Optimizers/svrg.py,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
Prodigy,classical / other adaptive baseline,catalog triage only,https://arxiv.org/abs/2306.06101,https://github.com/tianshijing/ScalingOpt/blob/main/Optimizers/prodigy.py,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
Adam-mini,block weighting / masking,catalog triage only,https://arxiv.org/abs/2406.16793,https://github.com/zyushun/Adam-mini,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
Muon,parent normalization / preconditioning,catalog triage only,https://arxiv.org/abs/2502.16982,https://github.com/KellerJordan/Muon,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
HTMuon,parent normalization / preconditioning,primary method sections,https://arxiv.org/abs/2603.10067,https://github.com/TDCSZ327/HTmuon,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
Lion,classical / other adaptive baseline,catalog triage only,https://arxiv.org/abs/2302.06675,https://github.com/google-research/lion,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
SGDW,classical / other adaptive baseline,catalog triage only,https://arxiv.org/abs/1711.05101,https://github.com/tianshijing/ScalingOpt/blob/main/Optimizers/sgdw.py,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
SOAP,parent normalization / preconditioning,primary source screening,https://arxiv.org/abs/2409.11321,https://github.com/nikhilvyas/SOAP/tree/main,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
MARS,gradient history,primary paper and author code,https://arxiv.org/abs/2411.10438,https://github.com/AGI-Arena/MARS,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
SPAM,classical / other adaptive baseline,catalog triage only,https://arxiv.org/abs/2501.06842,https://github.com/TianjinYellow/SPAM-Optimizer,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
AdaMuon,parent normalization / preconditioning,primary source screening,https://arxiv.org/abs/2507.11005,https://github.com/Chongjie-Si/AdaMuon,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
Conda,parent normalization / preconditioning,primary source screening,https://arxiv.org/abs/2509.24218,https://github.com/jie040109/Conda,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
AdaLomo,systems / state efficiency,catalog triage only,https://arxiv.org/abs/2310.10195,https://github.com/OpenLMLab/LOMO,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
BAdam,systems / state efficiency,catalog triage only,https://arxiv.org/abs/2404.02827,https://github.com/Ledzy/BAdam,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
AdEMAMix,gradient history,primary source screening,https://arxiv.org/abs/2409.03137,https://github.com/apple/ml-ademamix,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
ROOT,systems / state efficiency,catalog triage only,https://arxiv.org/abs/2511.20626,https://github.com/huawei-noah/noah-research/tree/master/ROOT,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
Gluon,weight constraints / parameterization,catalog triage only,https://arxiv.org/abs/2505.13416,,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
Dion,systems / state efficiency,catalog triage only,https://arxiv.org/abs/2504.05295,https://github.com/microsoft/dion/,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
Stable-SPAM,classical / other adaptive baseline,catalog triage only,https://arxiv.org/abs/2502.17055,https://github.com/TianjinYellow/StableSPAM,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
K-FAC,curvature,catalog triage only,https://arxiv.org/abs/1503.05671,https://github.com/gpauloski/kfac-pytorch,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
signSGD,classical / other adaptive baseline,catalog triage only,https://arxiv.org/abs/1802.04434,https://github.com/jxbz/signSGD,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
AdaShift,gradient history,catalog triage only,https://arxiv.org/abs/1810.00143,https://github.com/QingruZhang/AdaShift_Release,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
LOMO,systems / state efficiency,catalog triage only,https://arxiv.org/abs/2306.09782,https://github.com/OpenLMLab/LOMO,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
DoWG,classical / other adaptive baseline,catalog triage only,https://arxiv.org/abs/2305.16284,https://github.com/rka97/dowg,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
Schedule-Free AdamW,generalization / iterate averaging,catalog triage only,https://arxiv.org/abs/2405.15682,https://github.com/facebookresearch/schedule_free,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
Adai,classical / other adaptive baseline,catalog triage only,https://arxiv.org/abs/2006.15815,https://github.com/zeke-xie/adaptive-inertia-adai,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
SSO,weight constraints / parameterization,catalog triage only,https://arxiv.org/pdf/2601.08393v1,https://github.com/Unakar/Spectral-Sphere-Optimizer,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
Mano,weight constraints / parameterization,primary source screening,https://arxiv.org/abs/2601.23000,https://github.com/xie-lab-ml/Mano-Restriking-Manifold-Optimization-for-LLM-Training,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
ARO,weight constraints / parameterization,catalog triage only,https://arxiv.org/abs/2602.09006,,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
SWAN,parent normalization / preconditioning,catalog triage only,https://arxiv.org/abs/2412.13148,,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
SinkGD,parent normalization / preconditioning,catalog triage only,https://arxiv.org/abs/2502.06742,,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
NorMuon,parent normalization / preconditioning,primary paper and author code,https://arxiv.org/abs/2510.05491,,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
SkipUpdate,block weighting / masking,primary method sections,https://arxiv.org/abs/2602.15322,,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
Magma,block weighting / masking,primary method sections,https://arxiv.org/abs/2602.15322,,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
Muon+,parent normalization / preconditioning,primary paper and author code,https://arxiv.org/abs/2602.21545,https://github.com/K1seki221/MuonPlus,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
MOGA,parent normalization / preconditioning,primary method sections,https://arxiv.org/abs/2603.09952,,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
RMNP,parent normalization / preconditioning,catalog triage only,https://arxiv.org/abs/2603.20527,,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
MuonEq,parent normalization / preconditioning,primary paper and author code,https://arxiv.org/abs/2603.28254,,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
HyperP,weight constraints / parameterization,catalog triage only,https://arxiv.org/abs/2603.28743,https://github.com/microsoft/ArchScale,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
Nexus,generalization / iterate averaging,primary method sections,https://arxiv.org/abs/2604.09258,,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
Muon^2,parent normalization / preconditioning,primary method sections,https://arxiv.org/abs/2604.09967,,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
Gram Newton-Schulz,systems / state efficiency,primary method sections,https://dao-lab.ai/blog/2026/gram-newton-schulz/,,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
StoSignSGD,classical / other adaptive baseline,catalog triage only,https://arxiv.org/abs/2604.15416,,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
Nora,weight constraints / parameterization,catalog triage only,https://arxiv.org/abs/2605.03769,,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
Muown,weight constraints / parameterization,catalog triage only,https://arxiv.org/abs/2605.10797,https://github.com/kcc-lion/muown,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
MONA,gradient history,primary method sections,https://arxiv.org/abs/2605.26842,,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
Pion,parent normalization / preconditioning,primary source screening,https://chongyu-fan.netlify.app/posts/pion/,,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
Aurora,parent normalization / preconditioning,primary paper and author code,https://blog.tilderesearch.com/blog/aurora#d-solving-for-the-riemannian-gradient,https://github.com/tilde-research/aurora-release,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
ADANA,gradient history,catalog triage only,https://arxiv.org/abs/2602.05298,https://github.com/mlexpos/adana,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
ScheduleFree+,generalization / iterate averaging,catalog triage only,https://arxiv.org/abs/2605.19095,https://github.com/facebookresearch/schedule_free/blob/main/schedulefree/adamc_schedulefree_plus_paper.py,Triage is not a reproduction or endorsement; see REVIEW.md for individually verified findings.
