status,budget_tokens,dataset,seed,method,jsonl,issues,slurm_job_id,slurm_restart_count,slurm_node
valid,100000000,dolma_sample,2027,full,experiments/runs/iclr26_main/E1_rational_only_100m/dolma_sample/E1_rational_only_100m_dolma_sample_m0_100m_seed2027_rlb_rational_only_matrixpolicy/rlb_fused_global_rational.jsonl,,,,
valid,100000000,dolma_sample,3407,full,experiments/runs/iclr26_main/E1_rational_only_100m/dolma_sample/E1_rational_only_100m_dolma_sample_m0_100m_seed3407_rlb_rational_only_matrixpolicy/rlb_fused_global_rational.jsonl,,,,
valid,100000000,c4_en,1337,full,experiments/runs/iclr26_main/E1_rational_only_100m/c4_en/E1_rational_only_100m_c4_en_m0_100m_seed1337_rlb_rational_only_matrixpolicy/rlb_fused_global_rational.jsonl,,,,
valid,100000000,c4_en,2027,full,experiments/runs/iclr26_main/E1_rational_only_100m/c4_en/E1_rational_only_100m_c4_en_m0_100m_seed2027_rlb_rational_only_matrixpolicy/rlb_fused_global_rational.jsonl,,,,
valid,100000000,c4_en,3407,full,experiments/runs/iclr26_main/E1_rational_only_100m/c4_en/E1_rational_only_100m_c4_en_m0_100m_seed3407_rlb_rational_only_matrixpolicy/rlb_fused_global_rational.jsonl,,,,
valid,300000000,dclm,1337,full,experiments/runs/iclr26_main/E2_rational_only_300m/dclm/E2_rational_only_300m_dclm_m0_300m_seed1337_rlb_rational_only_matrixpolicy/rlb_fused_global_rational.jsonl,,,,
valid,300000000,dclm,2027,full,experiments/runs/iclr26_main/E2_rational_only_300m/dclm/E2_rational_only_300m_dclm_m0_300m_seed2027_rlb_rational_only_matrixpolicy/rlb_fused_global_rational.jsonl,,,,
valid,300000000,dclm,3407,full,experiments/runs/iclr26_main/E2_rational_only_300m/dclm/E2_rational_only_300m_dclm_m0_300m_seed3407_rlb_rational_only_matrixpolicy/rlb_fused_global_rational.jsonl,,,,
valid,300000000,fineweb_edu,1337,full,experiments/runs/iclr26_main/E2_rational_only_300m/fineweb_edu/E2_rational_only_300m_fineweb_edu_m0_300m_seed1337_rlb_rational_only_matrixpolicy/rlb_fused_global_rational.jsonl,,,,
valid,300000000,fineweb_edu,2027,full,experiments/runs/iclr26_main/E2_rational_only_300m/fineweb_edu/E2_rational_only_300m_fineweb_edu_m0_300m_seed2027_rlb_rational_only_matrixpolicy/rlb_fused_global_rational.jsonl,,,,
valid,300000000,fineweb_edu,3407,full,experiments/runs/iclr26_main/E2_rational_only_300m/fineweb_edu/E2_rational_only_300m_fineweb_edu_m0_300m_seed3407_rlb_rational_only_matrixpolicy/rlb_fused_global_rational.jsonl,,,,
valid,300000000,fineweb,1337,full,experiments/runs/iclr26_main/E2_rational_only_300m/fineweb/E2_rational_only_300m_fineweb_m0_300m_seed1337_rlb_rational_only_matrixpolicy/rlb_fused_global_rational.jsonl,,986793,0,lancer-compute-01
valid,300000000,fineweb,2027,full,experiments/runs/iclr26_main/E2_rational_only_300m/fineweb/E2_rational_only_300m_fineweb_m0_300m_seed2027_rlb_rational_only_matrixpolicy/rlb_fused_global_rational.jsonl,,,,
valid,300000000,fineweb,3407,full,experiments/runs/iclr26_main/E2_rational_only_300m/fineweb/E2_rational_only_300m_fineweb_m0_300m_seed3407_rlb_rational_only_matrixpolicy/rlb_fused_global_rational.jsonl,,,,
valid,300000000,dolma_sample,1337,full,experiments/runs/iclr26_main/E2_rational_only_300m/dolma_sample/E2_rational_only_300m_dolma_sample_m0_300m_seed1337_rlb_rational_only_matrixpolicy/rlb_fused_global_rational.jsonl,,,,
valid,300000000,dolma_sample,2027,full,experiments/runs/iclr26_main/E2_rational_only_300m/dolma_sample/E2_rational_only_300m_dolma_sample_m0_300m_seed2027_rlb_rational_only_matrixpolicy/rlb_fused_global_rational.jsonl,,,,
valid,300000000,dolma_sample,3407,full,experiments/runs/iclr26_main/E2_rational_only_300m/dolma_sample/E2_rational_only_300m_dolma_sample_m0_300m_seed3407_rlb_rational_only_matrixpolicy/rlb_fused_global_rational.jsonl,,986794,0,lil-compute-04
valid,300000000,c4_en,1337,full,experiments/runs/iclr26_main/E2_rational_only_300m/c4_en/E2_rational_only_300m_c4_en_m0_300m_seed1337_rlb_rational_only_matrixpolicy/rlb_fused_global_rational.jsonl,,,,
valid,300000000,c4_en,2027,full,experiments/runs/iclr26_main/E2_rational_only_300m/c4_en/E2_rational_only_300m_c4_en_m0_300m_seed2027_rlb_rational_only_matrixpolicy/rlb_fused_global_rational.jsonl,,986795,0,lancer-compute-01
valid,300000000,c4_en,3407,full,experiments/runs/iclr26_main/E2_rational_only_300m/c4_en/E2_rational_only_300m_c4_en_m0_300m_seed3407_rlb_rational_only_matrixpolicy/rlb_fused_global_rational.jsonl,,,,
valid,100000000,dclm,1337,no_role_depth,abalation/runs/matrixpolicy_ablation_e1_e2/E1_matrixpolicy_ablation_no_role_depth_100m/dclm/E1_matrixpolicy_ablation_no_role_depth_100m_dclm_m0_100m_seed1337_rlb_matrixpolicy_no_role_depth/rlb_fused_global_rational.jsonl,,567140,0,abdelfattah-compute-03
valid,100000000,dclm,2027,no_role_depth,abalation/runs/matrixpolicy_ablation_e1_e2/E1_matrixpolicy_ablation_no_role_depth_100m/dclm/E1_matrixpolicy_ablation_no_role_depth_100m_dclm_m0_100m_seed2027_rlb_matrixpolicy_no_role_depth/rlb_fused_global_rational.jsonl,,572244,0,abdelfattah-compute-03
valid,100000000,dclm,3407,no_role_depth,abalation/runs/matrixpolicy_ablation_e1_e2/E1_matrixpolicy_ablation_no_role_depth_100m/dclm/E1_matrixpolicy_ablation_no_role_depth_100m_dclm_m0_100m_seed3407_rlb_matrixpolicy_no_role_depth/rlb_fused_global_rational.jsonl,,572245,0,seo-compute-01
valid,100000000,fineweb_edu,1337,no_role_depth,abalation/runs/matrixpolicy_ablation_e1_e2/E1_matrixpolicy_ablation_no_role_depth_100m/fineweb_edu/E1_matrixpolicy_ablation_no_role_depth_100m_fineweb_edu_m0_100m_seed1337_rlb_matrixpolicy_no_role_depth/rlb_fused_global_rational.jsonl,,567143,0,seo-compute-01
valid,100000000,fineweb_edu,2027,no_role_depth,abalation/runs/matrixpolicy_ablation_e1_e2/E1_matrixpolicy_ablation_no_role_depth_100m/fineweb_edu/E1_matrixpolicy_ablation_no_role_depth_100m_fineweb_edu_m0_100m_seed2027_rlb_matrixpolicy_no_role_depth/rlb_fused_global_rational.jsonl,,567144,0,seo-compute-02
valid,100000000,fineweb_edu,3407,no_role_depth,abalation/runs/matrixpolicy_ablation_e1_e2/E1_matrixpolicy_ablation_no_role_depth_100m/fineweb_edu/E1_matrixpolicy_ablation_no_role_depth_100m_fineweb_edu_m0_100m_seed3407_rlb_matrixpolicy_no_role_depth/rlb_fused_global_rational.jsonl,,567151,0,ellis-compute-02
valid,100000000,fineweb,1337,no_role_depth,abalation/runs/matrixpolicy_ablation_e1_e2/E1_matrixpolicy_ablation_no_role_depth_100m/fineweb/E1_matrixpolicy_ablation_no_role_depth_100m_fineweb_m0_100m_seed1337_rlb_matrixpolicy_no_role_depth/rlb_fused_global_rational.jsonl,,567152,0,seo-compute-01
valid,100000000,fineweb,2027,no_role_depth,abalation/runs/matrixpolicy_ablation_e1_e2/E1_matrixpolicy_ablation_no_role_depth_100m/fineweb/E1_matrixpolicy_ablation_no_role_depth_100m_fineweb_m0_100m_seed2027_rlb_matrixpolicy_no_role_depth/rlb_fused_global_rational.jsonl,,567153,0,damle-compute-01
valid,100000000,fineweb,3407,no_role_depth,abalation/runs/matrixpolicy_ablation_e1_e2/E1_matrixpolicy_ablation_no_role_depth_100m/fineweb/E1_matrixpolicy_ablation_no_role_depth_100m_fineweb_m0_100m_seed3407_rlb_matrixpolicy_no_role_depth/rlb_fused_global_rational.jsonl,,572246,0,damle-compute-01
valid,100000000,dolma_sample,1337,no_role_depth,abalation/runs/matrixpolicy_ablation_e1_e2/E1_matrixpolicy_ablation_no_role_depth_100m/dolma_sample/E1_matrixpolicy_ablation_no_role_depth_100m_dolma_sample_m0_100m_seed1337_rlb_matrixpolicy_no_role_depth/rlb_fused_global_rational.jsonl,,572265,0,seo-compute-01
valid,100000000,dolma_sample,2027,no_role_depth,abalation/runs/matrixpolicy_ablation_e1_e2/E1_matrixpolicy_ablation_no_role_depth_100m/dolma_sample/E1_matrixpolicy_ablation_no_role_depth_100m_dolma_sample_m0_100m_seed2027_rlb_matrixpolicy_no_role_depth/rlb_fused_global_rational.jsonl,,572266,0,ellis-compute-02
valid,100000000,dolma_sample,3407,no_role_depth,abalation/runs/matrixpolicy_ablation_e1_e2/E1_matrixpolicy_ablation_no_role_depth_100m/dolma_sample/E1_matrixpolicy_ablation_no_role_depth_100m_dolma_sample_m0_100m_seed3407_rlb_matrixpolicy_no_role_depth/rlb_fused_global_rational.jsonl,,572268,0,zabih-compute-01
valid,100000000,c4_en,1337,no_role_depth,abalation/runs/matrixpolicy_ablation_e1_e2/E1_matrixpolicy_ablation_no_role_depth_100m/c4_en/E1_matrixpolicy_ablation_no_role_depth_100m_c4_en_m0_100m_seed1337_rlb_matrixpolicy_no_role_depth/rlb_fused_global_rational.jsonl,,572271,0,badfellow
valid,100000000,c4_en,2027,no_role_depth,abalation/runs/matrixpolicy_ablation_e1_e2/E1_matrixpolicy_ablation_no_role_depth_100m/c4_en/E1_matrixpolicy_ablation_no_role_depth_100m_c4_en_m0_100m_seed2027_rlb_matrixpolicy_no_role_depth/rlb_fused_global_rational.jsonl,,573601,0,abdelfattah-compute-03
valid,100000000,c4_en,3407,no_role_depth,abalation/runs/matrixpolicy_ablation_e1_e2/E1_matrixpolicy_ablation_no_role_depth_100m/c4_en/E1_matrixpolicy_ablation_no_role_depth_100m_c4_en_m0_100m_seed3407_rlb_matrixpolicy_no_role_depth/rlb_fused_global_rational.jsonl,,573706,0,seo-compute-01
valid,300000000,dclm,1337,no_role_depth,abalation/runs/matrixpolicy_ablation_e1_e2/E2_matrixpolicy_ablation_no_role_depth_300m/dclm/E2_matrixpolicy_ablation_no_role_depth_300m_dclm_m0_300m_seed1337_rlb_matrixpolicy_no_role_depth/rlb_fused_global_rational.jsonl,,580835,0,seo-compute-01
valid,300000000,dclm,2027,no_role_depth,abalation/runs/matrixpolicy_ablation_e1_e2/E2_matrixpolicy_ablation_no_role_depth_300m/dclm/E2_matrixpolicy_ablation_no_role_depth_300m_dclm_m0_300m_seed2027_rlb_matrixpolicy_no_role_depth/rlb_fused_global_rational.jsonl,,581096,0,abdelfattah-compute-03
valid,300000000,dclm,3407,no_role_depth,abalation/runs/matrixpolicy_ablation_e1_e2/E2_matrixpolicy_ablation_no_role_depth_300m/dclm/E2_matrixpolicy_ablation_no_role_depth_300m_dclm_m0_300m_seed3407_rlb_matrixpolicy_no_role_depth/rlb_fused_global_rational.jsonl,,581097,0,damle-compute-01
valid,300000000,fineweb_edu,1337,no_role_depth,abalation/runs/matrixpolicy_ablation_e1_e2/E2_matrixpolicy_ablation_no_role_depth_300m/fineweb_edu/E2_matrixpolicy_ablation_no_role_depth_300m_fineweb_edu_m0_300m_seed1337_rlb_matrixpolicy_no_role_depth/rlb_fused_global_rational.jsonl,,581530,0,badfellow
valid,300000000,fineweb_edu,2027,no_role_depth,abalation/runs/matrixpolicy_ablation_e1_e2/E2_matrixpolicy_ablation_no_role_depth_300m/fineweb_edu/E2_matrixpolicy_ablation_no_role_depth_300m_fineweb_edu_m0_300m_seed2027_rlb_matrixpolicy_no_role_depth/rlb_fused_global_rational.jsonl,,582320,0,seo-compute-01
valid,300000000,fineweb_edu,3407,no_role_depth,abalation/runs/matrixpolicy_ablation_e1_e2/E2_matrixpolicy_ablation_no_role_depth_300m/fineweb_edu/E2_matrixpolicy_ablation_no_role_depth_300m_fineweb_edu_m0_300m_seed3407_rlb_matrixpolicy_no_role_depth/rlb_fused_global_rational.jsonl,,582856,0,ellis-compute-02
valid,300000000,fineweb,1337,no_role_depth,abalation/runs/matrixpolicy_ablation_e1_e2/E2_matrixpolicy_ablation_no_role_depth_300m/fineweb/E2_matrixpolicy_ablation_no_role_depth_300m_fineweb_m0_300m_seed1337_rlb_matrixpolicy_no_role_depth/rlb_fused_global_rational.jsonl,,567306,0,abdelfattah-compute-03
valid,300000000,fineweb,2027,no_role_depth,abalation/runs/matrixpolicy_ablation_e1_e2/E2_matrixpolicy_ablation_no_role_depth_300m/fineweb/E2_matrixpolicy_ablation_no_role_depth_300m_fineweb_m0_300m_seed2027_rlb_matrixpolicy_no_role_depth/rlb_fused_global_rational.jsonl,,567307,0,seo-compute-01
valid,300000000,fineweb,3407,no_role_depth,abalation/runs/matrixpolicy_ablation_e1_e2/E2_matrixpolicy_ablation_no_role_depth_300m/fineweb/E2_matrixpolicy_ablation_no_role_depth_300m_fineweb_m0_300m_seed3407_rlb_matrixpolicy_no_role_depth/rlb_fused_global_rational.jsonl,,583147,0,zabih-compute-01
valid,300000000,dolma_sample,1337,no_role_depth,abalation/runs/matrixpolicy_ablation_e1_e2/E2_matrixpolicy_ablation_no_role_depth_300m/dolma_sample/E2_matrixpolicy_ablation_no_role_depth_300m_dolma_sample_m0_300m_seed1337_rlb_matrixpolicy_no_role_depth/rlb_fused_global_rational.jsonl,,589107,0,seo-compute-01
valid,300000000,dolma_sample,2027,no_role_depth,abalation/runs/matrixpolicy_ablation_e1_e2/E2_matrixpolicy_ablation_no_role_depth_300m/dolma_sample/E2_matrixpolicy_ablation_no_role_depth_300m_dolma_sample_m0_300m_seed2027_rlb_matrixpolicy_no_role_depth/rlb_fused_global_rational.jsonl,,567313,0,seo-compute-01
valid,300000000,dolma_sample,3407,no_role_depth,abalation/runs/matrixpolicy_ablation_e1_e2/E2_matrixpolicy_ablation_no_role_depth_300m/dolma_sample/E2_matrixpolicy_ablation_no_role_depth_300m_dolma_sample_m0_300m_seed3407_rlb_matrixpolicy_no_role_depth/rlb_fused_global_rational.jsonl,,589462,0,abdelfattah-compute-03
valid,300000000,c4_en,1337,no_role_depth,abalation/runs/matrixpolicy_ablation_e1_e2/E2_matrixpolicy_ablation_no_role_depth_300m/c4_en/E2_matrixpolicy_ablation_no_role_depth_300m_c4_en_m0_300m_seed1337_rlb_matrixpolicy_no_role_depth/rlb_fused_global_rational.jsonl,,590960,0,damle-compute-01
valid,300000000,c4_en,2027,no_role_depth,abalation/runs/matrixpolicy_ablation_e1_e2/E2_matrixpolicy_ablation_no_role_depth_300m/c4_en/E2_matrixpolicy_ablation_no_role_depth_300m_c4_en_m0_300m_seed2027_rlb_matrixpolicy_no_role_depth/rlb_fused_global_rational.jsonl,,567326,0,seo-compute-02
valid,300000000,c4_en,3407,no_role_depth,abalation/runs/matrixpolicy_ablation_e1_e2/E2_matrixpolicy_ablation_no_role_depth_300m/c4_en/E2_matrixpolicy_ablation_no_role_depth_300m_c4_en_m0_300m_seed3407_rlb_matrixpolicy_no_role_depth/rlb_fused_global_rational.jsonl,,567329,0,ellis-compute-02
valid,100000000,dclm,1337,role_depth_v2,abalation/runs/role_depth_v2_e1_e2/E1_matrixpolicy_ablation_role_depth_v2_100m/dclm/E1_matrixpolicy_ablation_role_depth_v2_100m_dclm_m0_100m_seed1337_rlb_matrixpolicy_role_depth_v2/rlb_fused_global_rational.jsonl,,676423,0,ellis-compute-02
valid,100000000,dclm,2027,role_depth_v2,abalation/runs/role_depth_v2_e1_e2/E1_matrixpolicy_ablation_role_depth_v2_100m/dclm/E1_matrixpolicy_ablation_role_depth_v2_100m_dclm_m0_100m_seed2027_rlb_matrixpolicy_role_depth_v2/rlb_fused_global_rational.jsonl,,676424,0,rush-compute-02
valid,100000000,dclm,3407,role_depth_v2,abalation/runs/role_depth_v2_e1_e2/E1_matrixpolicy_ablation_role_depth_v2_100m/dclm/E1_matrixpolicy_ablation_role_depth_v2_100m_dclm_m0_100m_seed3407_rlb_matrixpolicy_role_depth_v2/rlb_fused_global_rational.jsonl,,676425,0,elor-compute-01
valid,100000000,fineweb_edu,1337,role_depth_v2,abalation/runs/role_depth_v2_e1_e2/E1_matrixpolicy_ablation_role_depth_v2_100m/fineweb_edu/E1_matrixpolicy_ablation_role_depth_v2_100m_fineweb_edu_m0_100m_seed1337_rlb_matrixpolicy_role_depth_v2/rlb_fused_global_rational.jsonl,,676426,0,seo-compute-01
valid,100000000,fineweb_edu,2027,role_depth_v2,abalation/runs/role_depth_v2_e1_e2/E1_matrixpolicy_ablation_role_depth_v2_100m/fineweb_edu/E1_matrixpolicy_ablation_role_depth_v2_100m_fineweb_edu_m0_100m_seed2027_rlb_matrixpolicy_role_depth_v2/rlb_fused_global_rational.jsonl,,676546,0,abdelfattah-compute-03
valid,100000000,fineweb_edu,3407,role_depth_v2,abalation/runs/role_depth_v2_e1_e2/E1_matrixpolicy_ablation_role_depth_v2_100m/fineweb_edu/E1_matrixpolicy_ablation_role_depth_v2_100m_fineweb_edu_m0_100m_seed3407_rlb_matrixpolicy_role_depth_v2/rlb_fused_global_rational.jsonl,,676547,0,seo-compute-01
valid,100000000,fineweb,1337,role_depth_v2,abalation/runs/role_depth_v2_e1_e2/E1_matrixpolicy_ablation_role_depth_v2_100m/fineweb/E1_matrixpolicy_ablation_role_depth_v2_100m_fineweb_m0_100m_seed1337_rlb_matrixpolicy_role_depth_v2/rlb_fused_global_rational.jsonl,,676548,0,damle-compute-01
valid,100000000,fineweb,2027,role_depth_v2,abalation/runs/role_depth_v2_e1_e2/E1_matrixpolicy_ablation_role_depth_v2_100m/fineweb/E1_matrixpolicy_ablation_role_depth_v2_100m_fineweb_m0_100m_seed2027_rlb_matrixpolicy_role_depth_v2/rlb_fused_global_rational.jsonl,,676649,0,zabih-compute-01
valid,100000000,fineweb,3407,role_depth_v2,abalation/runs/role_depth_v2_e1_e2/E1_matrixpolicy_ablation_role_depth_v2_100m/fineweb/E1_matrixpolicy_ablation_role_depth_v2_100m_fineweb_m0_100m_seed3407_rlb_matrixpolicy_role_depth_v2/rlb_fused_global_rational.jsonl,,680015,0,abdelfattah-compute-03
valid,100000000,dolma_sample,1337,role_depth_v2,abalation/runs/role_depth_v2_e1_e2/E1_matrixpolicy_ablation_role_depth_v2_100m/dolma_sample/E1_matrixpolicy_ablation_role_depth_v2_100m_dolma_sample_m0_100m_seed1337_rlb_matrixpolicy_role_depth_v2/rlb_fused_global_rational.jsonl,,680016,0,seo-compute-01
valid,100000000,dolma_sample,2027,role_depth_v2,abalation/runs/role_depth_v2_e1_e2/E1_matrixpolicy_ablation_role_depth_v2_100m/dolma_sample/E1_matrixpolicy_ablation_role_depth_v2_100m_dolma_sample_m0_100m_seed2027_rlb_matrixpolicy_role_depth_v2/rlb_fused_global_rational.jsonl,,680135,0,elor-compute-01
valid,100000000,dolma_sample,3407,role_depth_v2,abalation/runs/role_depth_v2_e1_e2/E1_matrixpolicy_ablation_role_depth_v2_100m/dolma_sample/E1_matrixpolicy_ablation_role_depth_v2_100m_dolma_sample_m0_100m_seed3407_rlb_matrixpolicy_role_depth_v2/rlb_fused_global_rational.jsonl,,680234,0,zabih-compute-01
valid,100000000,c4_en,1337,role_depth_v2,abalation/runs/role_depth_v2_e1_e2/E1_matrixpolicy_ablation_role_depth_v2_100m/c4_en/E1_matrixpolicy_ablation_role_depth_v2_100m_c4_en_m0_100m_seed1337_rlb_matrixpolicy_role_depth_v2/rlb_fused_global_rational.jsonl,,680334,0,seo-compute-01
valid,100000000,c4_en,2027,role_depth_v2,abalation/runs/role_depth_v2_e1_e2/E1_matrixpolicy_ablation_role_depth_v2_100m/c4_en/E1_matrixpolicy_ablation_role_depth_v2_100m_c4_en_m0_100m_seed2027_rlb_matrixpolicy_role_depth_v2/rlb_fused_global_rational.jsonl,,680766,0,ellis-compute-02
valid,100000000,c4_en,3407,role_depth_v2,abalation/runs/role_depth_v2_e1_e2/E1_matrixpolicy_ablation_role_depth_v2_100m/c4_en/E1_matrixpolicy_ablation_role_depth_v2_100m_c4_en_m0_100m_seed3407_rlb_matrixpolicy_role_depth_v2/rlb_fused_global_rational.jsonl,,680767,0,damle-compute-01
valid,300000000,dclm,1337,role_depth_v2,abalation/runs/role_depth_v2_e1_e2/E2_matrixpolicy_ablation_role_depth_v2_300m/dclm/E2_matrixpolicy_ablation_role_depth_v2_300m_dclm_m0_300m_seed1337_rlb_matrixpolicy_role_depth_v2/rlb_fused_global_rational.jsonl,,681202,0,ellis-compute-02
valid,300000000,dclm,2027,role_depth_v2,abalation/runs/role_depth_v2_e1_e2/E2_matrixpolicy_ablation_role_depth_v2_300m/dclm/E2_matrixpolicy_ablation_role_depth_v2_300m_dclm_m0_300m_seed2027_rlb_matrixpolicy_role_depth_v2/rlb_fused_global_rational.jsonl,,683425,0,abdelfattah-compute-03
valid,300000000,dclm,3407,role_depth_v2,abalation/runs/role_depth_v2_e1_e2/E2_matrixpolicy_ablation_role_depth_v2_300m/dclm/E2_matrixpolicy_ablation_role_depth_v2_300m_dclm_m0_300m_seed3407_rlb_matrixpolicy_role_depth_v2/rlb_fused_global_rational.jsonl,,683426,0,seo-compute-01
valid,300000000,fineweb_edu,1337,role_depth_v2,abalation/runs/role_depth_v2_e1_e2/E2_matrixpolicy_ablation_role_depth_v2_300m/fineweb_edu/E2_matrixpolicy_ablation_role_depth_v2_300m_fineweb_edu_m0_300m_seed1337_rlb_matrixpolicy_role_depth_v2/rlb_fused_global_rational.jsonl,,683525,0,elor-compute-01
valid,300000000,fineweb_edu,2027,role_depth_v2,abalation/runs/role_depth_v2_e1_e2/E2_matrixpolicy_ablation_role_depth_v2_300m/fineweb_edu/E2_matrixpolicy_ablation_role_depth_v2_300m_fineweb_edu_m0_300m_seed2027_rlb_matrixpolicy_role_depth_v2/rlb_fused_global_rational.jsonl,,683639,0,zabih-compute-01
valid,300000000,fineweb_edu,3407,role_depth_v2,abalation/runs/role_depth_v2_e1_e2/E2_matrixpolicy_ablation_role_depth_v2_300m/fineweb_edu/E2_matrixpolicy_ablation_role_depth_v2_300m_fineweb_edu_m0_300m_seed3407_rlb_matrixpolicy_role_depth_v2/rlb_fused_global_rational.jsonl,,683695,0,seo-compute-01
valid,300000000,fineweb,1337,role_depth_v2,abalation/runs/role_depth_v2_e1_e2/E2_matrixpolicy_ablation_role_depth_v2_300m/fineweb/E2_matrixpolicy_ablation_role_depth_v2_300m_fineweb_m0_300m_seed1337_rlb_matrixpolicy_role_depth_v2/rlb_fused_global_rational.jsonl,,683746,0,damle-compute-01
valid,300000000,fineweb,2027,role_depth_v2,abalation/runs/role_depth_v2_e1_e2/E2_matrixpolicy_ablation_role_depth_v2_300m/fineweb/E2_matrixpolicy_ablation_role_depth_v2_300m_fineweb_m0_300m_seed2027_rlb_matrixpolicy_role_depth_v2/rlb_fused_global_rational.jsonl,,683990,1,damle-compute-01
valid,300000000,fineweb,3407,role_depth_v2,abalation/runs/role_depth_v2_e1_e2/E2_matrixpolicy_ablation_role_depth_v2_300m/fineweb/E2_matrixpolicy_ablation_role_depth_v2_300m_fineweb_m0_300m_seed3407_rlb_matrixpolicy_role_depth_v2/rlb_fused_global_rational.jsonl,,688601,0,badfellow
valid,300000000,dolma_sample,1337,role_depth_v2,abalation/runs/role_depth_v2_e1_e2/E2_matrixpolicy_ablation_role_depth_v2_300m/dolma_sample/E2_matrixpolicy_ablation_role_depth_v2_300m_dolma_sample_m0_300m_seed1337_rlb_matrixpolicy_role_depth_v2/rlb_fused_global_rational.jsonl,,692065,2,elor-compute-01
valid,300000000,dolma_sample,2027,role_depth_v2,abalation/runs/role_depth_v2_e1_e2/E2_matrixpolicy_ablation_role_depth_v2_300m/dolma_sample/E2_matrixpolicy_ablation_role_depth_v2_300m_dolma_sample_m0_300m_seed2027_rlb_matrixpolicy_role_depth_v2/rlb_fused_global_rational.jsonl,,692213,0,seo-compute-01
valid,300000000,dolma_sample,3407,role_depth_v2,abalation/runs/role_depth_v2_e1_e2/E2_matrixpolicy_ablation_role_depth_v2_300m/dolma_sample/E2_matrixpolicy_ablation_role_depth_v2_300m_dolma_sample_m0_300m_seed3407_rlb_matrixpolicy_role_depth_v2/rlb_fused_global_rational.jsonl,,692298,0,elor-compute-01
valid,300000000,c4_en,1337,role_depth_v2,abalation/runs/role_depth_v2_e1_e2/E2_matrixpolicy_ablation_role_depth_v2_300m/c4_en/E2_matrixpolicy_ablation_role_depth_v2_300m_c4_en_m0_300m_seed1337_rlb_matrixpolicy_role_depth_v2/rlb_fused_global_rational.jsonl,,692795,0,zabih-compute-01
valid,300000000,c4_en,2027,role_depth_v2,abalation/runs/role_depth_v2_e1_e2/E2_matrixpolicy_ablation_role_depth_v2_300m/c4_en/E2_matrixpolicy_ablation_role_depth_v2_300m_c4_en_m0_300m_seed2027_rlb_matrixpolicy_role_depth_v2/rlb_fused_global_rational.jsonl,,693028,0,seo-compute-01
valid,300000000,c4_en,3407,role_depth_v2,abalation/runs/role_depth_v2_e1_e2/E2_matrixpolicy_ablation_role_depth_v2_300m/c4_en/E2_matrixpolicy_ablation_role_depth_v2_300m_c4_en_m0_300m_seed3407_rlb_matrixpolicy_role_depth_v2/rlb_fused_global_rational.jsonl,,676321,0,ellis-compute-02
valid,100000000,dclm,1337,role_depth_v3,abalation/runs/role_depth_v3_v4_e1_e2/E1_matrixpolicy_ablation_role_depth_v3_100m/dclm/E1_matrixpolicy_ablation_role_depth_v3_100m_dclm_m0_100m_seed1337_rlb_matrixpolicy_role_depth_v3/rlb_fused_global_rational.jsonl,,707327,1,badfellow
